COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;Cod Grupo;Desc Grupo;ATIVO;
RHC00B05;CAMISA 106 FEM   SERV GER   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00B06;CAMISA 106 FEM   SERV GER   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00B07;CAMISA 106 FEM   SERV GER   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00B08;CAMISA 106 FEM   SERV GER   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00B8;CAMISA 106 FEM   SERV GER   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00C01;CAMISA 108 FEM   EQ LOJA   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C015;CAMISA SOCIAL MASC GERENTE D LOJ TAM ESPECIAL;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C016;CAMISA SOCIAL FEM EQ LOJA TAM 4G ESPECIAL;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C017;CAMISA SOCIAL FEM EQUIPE LOJA TAM ESPECIAL;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C02;CAMISA 108 FEM   EQ LOJA   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C03;CAMISA 108 FEM   EQ LOJA   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C04;CAMISA 108 FEM   EQ LOJA   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C05;CAMISA 108 FEM   EQ LOJA   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C06;CAMISA 108 FEM   EQ LOJA   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C07;CAMISA 108 FEM   EQ LOJA   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C08;CAMISA 108 FEM   EQ LOJA  EXG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C09;CAMISA 108 FEM   EQ LOJA  EXGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00C10;CAMISA 108 FEM M.CURTA EQ LOJA TAM ESPECIAL;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00D01;CAMISA 110 FEM   COORD LOJ   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00D02;CAMISA 110 FEM   COORD LOJ   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00D03;CAMISA 110 FEM   COORD LOJ   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00D04;CAMISA 110 FEM   COORD LOJ   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00D05;CAMISA 110 FEM   COORD LOJ   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00D06;CAMISA 110 FEM   COORD LOJ   EG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00D07;CAMISA 110 FEM   COORD LOJ   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00D08;CAMISA 110 FEM. COORD. LOJ.   EXG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00D09;CAMISA 110 FEM. COORD. LOJ.   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00D10;CAMISA 110 FEM. COORD. LOJ.   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00E02;CAMISA 111 MAS   COORD LOJ   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00E03;CAMISA 111 MAS   COORD LOJ   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00E04;CAMISA 111 MAS   COORD LOJ   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00E05;CAMISA 111 MAS   COORD LOJ   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00E06;CAMISA 111 MAS   COORD LOJ   EXG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00E07;CAMISA 111 MAS   COORD LOJ   EXGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00E08;CAMISA 111 MAS.COORD. LOJ   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00E09;CAMISA 111 MAS COORD. LOJ   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00F01;CAMISA 112 FEM   GER LOJ CORP   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00F02;CAMISA 112 FEM   GER LOJ CORP   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00F03;CAMISA 112 FEM   GER LOJ CORP   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00F04;CAMISA 112 FEM   GER LOJ CORP   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00F05;CAMISA 112 FEM   GER LOJ CORP   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00F06;CAMISA 112 FEM   GER LOJ CORP   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00F07;CAMISA 112 FEM   GER LOJ CORP   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00G01;BATA 115 FEM   GESTANTE   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00G02;BATA 115 FEM   GESTANTE   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00G03;BATA 115 FEM   GESTANTE   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00G04;BATA 115 FEM   GESTANTE   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
